t,F_0=0.015 C_vv(t),F_0=0.015 stdv C_vv(t),F_0=0.03 C_vv(t),F_0=0.03 stdv C_vv(t),F_0=0.045 C_vv(t),F_0=0.045 stdv C_vv(t),F_0=0.06 C_vv(t),F_0=0.06 stdv C_vv(t),F_0=0.075 C_vv(t),F_0=0.075 stdv C_vv(t),F_0=0.105 C_vv(t),F_0=0.105 stdv C_vv(t),F_0=0.135 C_vv(t),F_0=0.135 stdv C_vv(t)
142.5,0.2206569579611374,0.027676827135593884,0.29803488556875146,0.04176866406774125,0.37538561473771226,0.02348895005585705,0.2725467412800185,0.009839343537131747,0.21205732762199808,0.011099451650753963,NaN,NaN,NaN,NaN
145.0,0.21843023388317,0.02828514906463911,0.29666455781432466,0.04145100108094113,0.3722530670741797,0.02409697659907806,0.26936509021275623,0.010656958479840701,0.21036770303218716,0.011816085393031512,NaN,NaN,NaN,NaN
147.5,0.21545337825693894,0.028596259918158264,0.2947585500888188,0.04200239131042027,0.3696321548766111,0.02418172983768102,0.2667217213578651,0.01024998420457172,0.20793541599477697,0.011806029442629802,NaN,NaN,NaN,NaN
150.0,0.21357207880124457,0.02884850470291738,0.29306162007669323,0.041903015677842936,0.3665025229592034,0.02448856915878869,0.2639223136342697,0.009509349081366839,0.20586873239098705,0.012067790693011211,NaN,NaN,NaN,NaN
152.5,0.21033876502803492,0.028699609708603604,0.28984166178349113,0.04195175245829805,0.3631101867281761,0.024708724325668157,0.2600599062069544,0.010329240277737585,0.20355255050257728,0.011700864720618315,NaN,NaN,NaN,NaN
155.0,0.20848382766156406,0.02730720248453188,0.2890192035785811,0.04224033086822848,0.3608547631891462,0.025051915636745525,0.2576118577287384,0.009675446327742507,0.2005865207420014,0.011261070893802667,NaN,NaN,NaN,NaN
157.5,0.2084955446529873,0.027325310800914392,0.28713801058263255,0.04211572441527772,0.35778134428968733,0.02439476956884393,0.25467287482972817,0.009765307286275282,0.1985199285586442,0.01217254336268093,NaN,NaN,NaN,NaN
160.0,0.20623608602850468,0.026806324367372958,0.28745030059102883,0.04195931891693295,0.35477144339662425,0.02450915188974984,0.25190071907605016,0.008717834863806536,0.19627651490579812,0.01213486276150222,NaN,NaN,NaN,NaN
162.5,0.20347846573739575,0.028012194300634556,0.2844028197859866,0.0436528169895767,0.3523179667339307,0.024383481187094592,0.24984094088524297,0.009016656958351424,0.194167982137409,0.012515047019704946,NaN,NaN,NaN,NaN
165.0,0.20093484405662485,0.028030698491976768,0.28417879974740884,0.04263804511805,0.3499491565745779,0.02397056570931012,0.24746966047399335,0.009477812619270748,0.1919592355957484,0.013064520254205757,NaN,NaN,NaN,NaN
167.5,0.1988423129247075,0.02725814886855987,0.28275908388440435,0.04300812044005756,0.3465640897080583,0.02448620584546083,0.24447326217286816,0.01015619257074261,0.18931028884768866,0.012827257553155728,NaN,NaN,NaN,NaN
