t,tau_V=0.1 C_vv(t),tau_V=0.1 stdv C_vv(t),tau_V=0.5 C_vv(t),tau_V=0.5 stdv C_vv(t),tau_V=1.0 C_vv(t),tau_V=1.0 stdv C_vv(t),tau_V=2.0 C_vv(t),tau_V=2.0 stdv C_vv(t),tau_V=5.0 C_vv(t),tau_V=5.0 stdv C_vv(t),tau_V=10.0 C_vv(t),tau_V=10.0 stdv C_vv(t),tau_V=20.0 C_vv(t),tau_V=20.0 stdv C_vv(t),tau_V=50.0 C_vv(t),tau_V=50.0 stdv C_vv(t),tau_V=100.0 C_vv(t),tau_V=100.0 stdv C_vv(t),tau_V=200.0 C_vv(t),tau_V=200.0 stdv C_vv(t),tau_V=500.0 C_vv(t),tau_V=500.0 stdv C_vv(t),tau_V=1000.0 C_vv(t),tau_V=1000.0 stdv C_vv(t)
570.0,0.0005816103923571863,0.002947749539979158,0.0002572960335003308,0.0039889181423796985,-0.00032113118532222415,0.0030757852685328524,-0.0004659612354049627,0.002857512645579336,0.00019826059817119494,0.0027041491523536604,0.0009105213659047767,0.002525391462979094,0.00037565667523484887,0.0026783453083904724,-0.001923374656346293,0.0032453022261562997,0.0005751330466326181,0.002403600692863461,0.0034081768870551877,0.00385407777954867,0.04394824289644105,0.00499034014227869,0.07984742709308021,0.010068763099900518
580.0,0.001006559080037276,0.002803953899054088,-7.370473818001707e-5,0.0025206426608948246,0.0017930598350766724,0.002878550806227098,0.0001702970330727278,0.003104337879597333,0.00017857012123956664,0.00344408473129955,0.00023816459292215638,0.002356206203042863,0.0012761365564147712,0.0022826255269500226,-0.001431051320258787,0.0026006289660102035,0.0008838365624918408,0.0030003533253135464,0.0038535743248416477,0.0040981482420481994,0.04318038245730861,0.00588251685404124,0.07874888456220992,0.00979814429656994
590.0,0.0005639544934207925,0.0021034321322724947,0.00016774786687081888,0.0026739831975570913,-0.0004674050360516938,0.0023349901008118054,0.0008277559467965214,0.002398859023866473,-0.0006066649225728951,0.0034953214038125893,0.00014927377216983635,0.0017836156186692316,-0.00019581046662948373,0.0013523992831482442,5.4838910279994935e-5,0.0032492326286829264,0.0003362973968300088,0.0028083994035019975,0.003097503193914003,0.0022002281692797615,0.04262432383640884,0.0059981380689132675,0.0768086982088171,0.00927214948286924
600.0,6.044421278017468e-5,0.002999541131253195,-0.00038427899042563956,0.004256117185672969,-0.0026059768511470217,0.003181850372764518,-0.0009012141824031313,0.0027166344927752207,-0.0003111400747743397,0.0016797803960447541,0.001113650612468907,0.0030278865451236823,0.000273495701608835,0.0018978999581536692,-0.0006953670510248128,0.0031777691132989683,0.000979368195078209,0.002853162901374401,0.002626591659519044,0.0022863462671306855,0.04123756254045715,0.006546363771210218,0.07586765853218004,0.009306996039930732
610.0,-0.0004787200745937544,0.0023690041481691715,-0.00035749368035533854,0.003106080332583275,0.0008690645962718072,0.0022455904099379417,-0.0015647014702508527,0.002513943271116718,-0.0003399185514824524,0.0020484383560768335,0.0008528057262746408,0.001999516888735824,0.0003510494701945827,0.002813188178694845,-0.0019302619938382914,0.0021911608233146527,0.0008873593950253968,0.0022881125078182516,0.001473340506683272,0.0012441370077291023,0.04052451929089049,0.006120030412496222,0.07441845179655902,0.00889881227036446
620.0,-1.3202262820250382e-5,0.0027150575118470447,0.000781196536142704,0.0017841710149461782,-0.002473676913565647,0.0028821055087556086,-0.0005829953189160639,0.0023337718071041475,0.0006346901341697383,0.002905662022900208,0.0007589261055871235,0.001724378346689291,0.0004855147599157858,0.0028432244945664877,-0.0010527360240431796,0.0017639515124441131,0.00021275443539492777,0.0020508369250987956,0.0007023183352941672,0.0022766934519544368,0.03909356406860109,0.0047602559655484196,0.07444037275604373,0.009692529408809967
630.0,-0.0009129900944787317,0.002404694151414375,0.0006504607528720382,0.003489497913914631,0.0005761779747370559,0.002168997571356093,0.0010919016266492366,0.002636662444741523,-0.0008151983104690999,0.001949725687273588,0.000608531582819802,0.0022560255839171,-0.0005674295352673445,0.0034967594571142266,-0.0010115000812110986,0.002562841296407639,0.00019231033821161915,0.003006079966703689,0.001846102538655837,0.00327615701375927,0.03976461116786856,0.004590135751621442,0.0732869755078257,0.008735149213674085
640.0,-0.000606670601303286,0.002213726199655325,-0.0022876585607494375,0.001872878600518813,-0.00012183388836936315,0.002258547530155626,4.895384787349617e-5,0.0030899629664223284,0.0011269952589839348,0.0032020837316863882,0.0013399828324209045,0.0015989967283339115,0.0007374969264350637,0.0022476701551786015,-0.0009279365683030236,0.002436195271921318,-0.0002400483307900018,0.0025095722463871735,0.0023073104970362545,0.0024801155069438113,0.03786270096686151,0.005485547261400007,0.07197685680615756,0.009565931113466758
650.0,0.0005762870213406338,0.003398609874968357,0.0002459866852859259,0.0034335143685632753,0.0001632736906128117,0.0023496407982180503,-0.0007102488297240739,0.003915421382993206,-0.0003969328058187532,0.00313542757884086,-0.0003348827643987634,0.0019208880017792449,-0.00048388573731167643,0.0023407951035211453,-0.0016151870074889072,0.0018987474598899491,0.0012570222403740928,0.003307721873878408,0.0013942119832006429,0.0045936155337335865,0.03701041425939342,0.005115377463876978,0.07087535095999904,0.01047695934531327
660.0,0.0003565218491361177,0.0031515892945939575,-0.000579830338355523,0.002066086274889808,-0.0005968051610503917,0.004096364386252747,-0.0008092633521468503,0.002347659212099442,0.0009330826683595806,0.001422058541285072,-0.0008687797280115324,0.004079071151254013,0.0013643959066895507,0.0021375400121485906,-8.519624390852299e-5,0.0022079582788261535,0.0014014561716944743,0.0022579048337072077,0.0007023919974915886,0.004731147712646039,0.035675409105173785,0.003986464055526633,0.07001400188232011,0.00941022716969894
