F_0,tau_V,MSD(2500),stdv MSD(2500),MSRD(500),stdv MSRD(500),MSRD(1000),stdv MSRD(1000),MSRD(2500),stdv MSRD(2500),MSRD diffusivity exponent,shape factor, stdv shape factor,aspect ratio,stdv aspect ratio,T1 rate,stdv T1 rate,P(l<l_c),stdv P(l<l_c),trapped edge lifetime,stdv trapped edge lifetime,T1 success rate,stdv T1 success rate,v^2,stdv v^2,correlation length,stdv correlation length,tau_eff,stdv tau_eff
0.045,20.0,13.73598428954997,1.1001678438656062,2.0002718007177367,0.08627021851922509,4.315099610081157,0.2434783694257337,13.244092352781436,0.7310418779191452,1.2571347657075194,3.8625660640363657,0.000648762853858269,1.4014849883515679,0.001256418013640277,0.004015479999999999,6.0108657169052514e-5,0.0,0.0,0.0,0.0,0.9995815887540809,0.000604371148610959,0.0008116970492861563,3.376882154180035e-6,0.7429459861670485,0.014928091243085249,3.203231495966574,0.05196849552318267
0.045,50.0,35.55282111670738,3.4804371138283168,4.581675510411258,0.1974505388707127,11.262833594970527,0.5294174363179867,38.5971722969365,2.2613297729046957,1.3075846741566668,3.8898428896970665,0.0007469133740567071,1.4541964010073953,0.001528358887847891,0.005216900000000001,8.34985695153582e-5,0.0,0.0,0.0,0.0,0.9992881122617462,0.0005610780866443917,0.0005908535330935189,4.6242174306033615e-6,0.9493310493173158,0.026109461846318675,10.947345037184707,0.06500479782053031
0.045,100.0,63.8049917725527,8.323862279308885,7.6012070221670305,0.49865915364626945,20.56958856602268,1.5733490298242003,75.04438991217141,5.593273416094802,1.3669637570063085,3.906301686394799,0.0012327442424568034,1.4869068447498681,0.0028932636194633488,0.005453060000000001,9.287123941840722e-5,0.0,0.0,0.0,0.0,0.9995799190428366,0.0007467820397541384,0.0004762304396287296,8.047397556285153e-6,1.1143383173388772,0.03611240025399097,25.35055778385647,0.16127303229969275
0.045,200.0,110.88467093394509,11.106231716439655,11.335904865879888,1.118406537308265,34.927243753404596,3.8150278774524944,139.1198477576088,11.545671543109238,1.3914422991876116,3.9210874746870887,0.0013204911517818204,1.5167557027034824,0.0027762430497965973,0.005589080000000001,9.674521865877068e-5,0.0,0.0,0.0,0.0,0.9995373945323787,0.0005676531736014409,0.00041829518293505106,6.13353877012349e-6,1.3659774860882468,0.06681521817416161,58.89124591743465,1.0124376604718088
0.045,500.0,207.56589297985948,31.429789326799817,15.89400839399125,1.1849807866294764,55.898916665887846,4.569668306919586,255.45230089288296,26.531369725371583,1.5459751228901013,3.934646427963441,0.0009671875332066612,1.5445669281609136,0.0019987883938907764,0.0055504000000000005,0.00010368580745052182,0.0,0.0,0.0,0.0,0.999774739286658,0.0003893364684647005,0.00038019232077691437,1.2030266323966983e-5,1.6053687707859616,0.1765035286185333,148.8422623693376,1.7196443624803965
0.045,1000.0,334.71725269403083,60.557067216477144,20.29617824273442,3.0053085072686985,80.48244666291893,14.835522644937667,421.83939106539594,83.81843630088126,1.5972707712962344,3.941781438684619,0.001789187716045421,1.559505915188811,0.003832631192064475,0.005617779999999999,0.00024260652093461974,0.0,0.0,2.956830277942579e-5,9.35031833284728e-5,0.9996511206027237,0.00048221168021571353,0.00038938569327814714,2.6787776218785394e-5,1.8375133687747958,0.20975892564369097,245.94548049756668,1.761094281788482
0.06,0.1,0.022781019620077,0.005098033946811651,0.006178877374621007,6.036569370711521e-5,0.0062493541298963284,8.137509558441477e-5,0.006300533796849993,0.00013577521301323453,0.028591884756821433,3.7640075930982944,0.001376011565986285,1.1946843697319562,0.0038345459946201423,1.5e-7,1.414213562373095e-7,0.0,0.0,NaN,NaN,1.0,0.0,0.004888691380947821,1.852804280760586e-6,0.28108727227684416,0.005475748278287663,0.031426159315921486,0.004171105268326299
0.06,0.5,0.1139916363619741,0.02335744581473206,0.03148548808240368,0.0004679179799259087,0.034296882710958335,0.0009850322827285442,0.04142009274569785,0.0027578866364308,0.23312950020880513,3.76953183706076,0.0012898912772553834,1.2117621274071182,0.0036760381137623064,1.24e-5,1.6733200530681511e-6,0.0,0.0,0.0,0.0,1.0,0.0,0.004261480744534236,2.0490145487181302e-6,0.33159465527326815,0.0066807176991215056,0.0647278128220741,0.008974970381527161
0.06,1.0,0.2770390565566969,0.024641237317756783,0.07130969871476171,0.0015872197092337344,0.08695116716528298,0.0034760591609770373,0.12209848368961636,0.007135107212896892,0.4089784531151404,3.774274761606697,0.0010606078977401145,1.2244739276790342,0.0023258891969917556,0.00010120000000000001,7.237556370918449e-6,0.0,0.0,0.0,0.0,1.0,0.0,0.003799390228788771,2.414351997434336e-6,0.3674287595384696,0.005446075147595647,0.10700316346265479,0.010113447760491287
0.06,2.0,1.2745360765204237,0.18571842578855097,0.2470331575316207,0.013397719001743733,0.3920942298289038,0.026685709118613822,0.8220386962427643,0.07076091264420133,0.8654178531169406,3.8013658460144244,0.0008137854814250468,1.2836173459588989,0.001494223161395291,0.00092196,3.873990764630763e-5,0.0,0.0,0.0,0.0,0.9981238799459747,0.002685560548652671,0.0032491192991054253,2.9739998641349588e-6,0.4187557006901096,0.006066799956711337,0.23868718084019816,0.011814811023880612
