bin_left,bin_right,bin_mean,tau_V=0.1 P(l),tau_V=0.1 upper_error,tau_V=0.1 lower_error,tau_V=0.5 P(l),tau_V=0.5 upper_error,tau_V=0.5 lower_error,tau_V=1.0 P(l),tau_V=1.0 upper_error,tau_V=1.0 lower_error,tau_V=2.0 P(l),tau_V=2.0 upper_error,tau_V=2.0 lower_error,tau_V=5.0 P(l),tau_V=5.0 upper_error,tau_V=5.0 lower_error,tau_V=10.0 P(l),tau_V=10.0 upper_error,tau_V=10.0 lower_error,tau_V=20.0 P(l),tau_V=20.0 upper_error,tau_V=20.0 lower_error,tau_V=50.0 P(l),tau_V=50.0 upper_error,tau_V=50.0 lower_error,tau_V=100.0 P(l),tau_V=100.0 upper_error,tau_V=100.0 lower_error,tau_V=200.0 P(l),tau_V=200.0 upper_error,tau_V=200.0 lower_error,tau_V=500.0 P(l),tau_V=500.0 upper_error,tau_V=500.0 lower_error,tau_V=1000.0 P(l),tau_V=1000.0 upper_error,tau_V=1000.0 lower_error
0.25,0.3,0.275,0.09870306666666669,0.011876232865748359,0.011876232865748359,0.13194333333333336,0.010593250518288046,0.010593250518288046,0.25070413333333336,0.00893496468133983,0.00893496468133983,0.4834508666666667,0.001833535586150166,0.001833535586150166,0.6077692666666666,0.001213586764334501,0.001213586764334501,0.6558140666666668,0.000980054493319888,0.000980054493319888,0.6876302666666667,0.001700235457913324,0.001700235457913324,0.7131987333333334,0.0019496808589745788,0.0019496808589745788,0.7268392666666668,0.0017309578437356846,0.0017309578437356846,0.7349488888888891,0.0025450223312707245,0.0025450223312707245,0.740702466666667,0.0019026045059793294,0.0019026045059793294,0.7432806666666667,0.002190071180984272,0.002190071180984272
0.3,0.35,0.32499999999999996,0.2544260666666667,0.02100934689214703,0.02100934689214703,0.27876086666666666,0.018683514880804275,0.018683514880804275,0.4373668000000001,0.010691374064527645,0.010691374064527645,0.6663792,0.0019709052078351313,0.0019709052078351313,0.7491032000000001,0.0013273725946162539,0.0013273725946162539,0.7742262,0.0018587461072879343,0.0018587461072879343,0.7902464000000001,0.0019432878134558315,0.0019432878134558315,0.8034801333333336,0.0017925818003960274,0.0017925818003960274,0.8119108666666669,0.002136356539577948,0.002136356539577948,0.817000888888889,0.0016895554970990862,0.0016895554970990862,0.8193830000000002,0.0022015380762627464,0.0022015380762627464,0.8212109629629631,0.0013048050987327505,0.0013048050987327505
0.35,0.4,0.375,0.5403155999999995,0.03629260154676289,0.03629260154676289,0.5382048666666662,0.026266084137270485,0.026266084137270485,0.7138827999999994,0.009891607969746885,0.009891607969746885,0.8795001333333327,0.0018727418810627488,0.0018727418810627488,0.902213399999999,0.0023676824205210506,0.0023676824205210506,0.898487399999999,0.001960209750681473,0.001960209750681473,0.8961877999999992,0.0017648996907808974,0.0017648996907808974,0.8958656666666659,0.0010884689099378145,0.0010884689099378145,0.8961839333333325,0.003537709190429484,0.003537709190429484,0.8973776296296287,0.0017989936727425971,0.0017989936727425971,0.8960470666666657,0.0019357489430115442,0.0019357489430115442,0.897671999999999,0.0027852112227900305,0.0027852112227900305
0.4,0.45,0.42500000000000004,0.9659880000000001,0.03257485316416129,0.03257485316416129,0.946487266666667,0.02476379385451946,0.02476379385451946,1.077725666666667,0.004523193706734433,0.004523193706734433,1.110003066666667,0.0017844024680271045,0.0017844024680271045,1.0578650000000003,0.0010222984633404062,0.0010222984633404062,1.021848,0.002105570530582884,0.002105570530582884,0.9986788666666667,0.0013218609422391127,0.0013218609422391127,0.9818012666666668,0.000941661072418645,0.000941661072418645,0.9752699333333334,0.0017871865039776624,0.0017871865039776624,0.9730723703703705,0.0021904560436156436,0.0021904560436156436,0.9689372666666667,0.002318509279475144,0.002318509279475144,0.9687881481481484,0.0033074907201982536,0.0033074907201982536
0.45,0.5,0.475,1.5174460000000003,0.03796613111708913,0.03796613111708913,1.5056096000000003,0.009638262730606474,0.009638262730606474,1.5023240000000002,0.005484295108717845,0.005484295108717845,1.3409016666666669,0.002608185372681809,0.002608185372681809,1.2063887999999998,0.0010785343415607683,0.0010785343415607683,1.1410898000000003,0.0023327108174878344,0.0023327108174878344,1.0961766000000002,0.0021496846383701057,0.0021496846383701057,1.0635042000000001,0.0019273660924486978,0.0019273660924486978,1.0493144666666665,0.0021981262514432494,0.0021981262514432494,1.0421740740740741,0.0037424911703962662,0.0037424911703962662,1.0352402,0.00230738723598579,0.00230738723598579,1.0342245185185188,0.0022816283848207165,0.0022816283848207165
0.5,0.6,0.55,2.426117066666667,0.03896663923352318,0.03896663923352318,2.4020915333333335,0.040553173023532334,0.040553173023532334,2.0870738666666666,0.01999232459893385,0.01999232459893385,1.6255929333333339,0.002943212252867985,0.002943212252867985,1.3865430333333335,0.002463914723402071,0.002463914723402071,1.285131966666667,0.0017689698575131235,0.0017689698575131235,1.2175058333333335,0.002291643015366123,0.002291643015366123,1.163662166666667,0.0021269380544938986,0.0021269380544938986,1.1392844666666668,0.0020349467381630317,0.0020349467381630317,1.1250653333333336,0.0022637132597178216,0.0022637132597178216,1.1140208666666669,0.0021878056044728976,0.0021878056044728976,1.1113993333333334,0.0023656179307835036,0.0023656179307835036
0.6,0.7,0.6499999999999999,2.9021837000000006,0.0778710711331141,0.0778710711331141,2.831261133333334,0.06005614098845095,0.06005614098845095,2.3744017333333334,0.02415307869638118,0.02415307869638118,1.7946937333333335,0.004717760265315275,0.004717760265315275,1.4983689333333337,0.0017985481442431563,0.0017985481442431563,1.3775125,0.002258290067919592,0.002258290067919592,1.295977666666667,0.0023066748447724554,0.0023066748447724554,1.2291679666666668,0.0023816946785798284,0.0023816946785798284,1.1980506000000002,0.0025410876732145627,0.0025410876732145627,1.1777692222222222,0.0022202145416853622,0.0022202145416853622,1.1629110666666667,0.00280787743656405,0.00280787743656405,1.1582641851851856,0.00278117259997726,0.00278117259997726
0.7,0.8,0.75,1.9949168333333316,0.02710937994620864,0.02710937994620864,1.9551596666666646,0.0042450443002530446,0.0042450443002530446,1.878650599999998,0.0057113854404498765,0.0057113854404498765,1.6252966333333319,0.002938317274593197,0.002938317274593197,1.4125724666666655,0.0019038381648724407,0.0019038381648724407,1.3144769999999988,0.002325444388700418,0.002325444388700418,1.2487162999999986,0.0017948067707818846,0.0017948067707818846,1.1884031333333323,0.002569449800354761,0.002569449800354761,1.1594643333333323,0.0032874966647872903,0.0032874966647872903,1.1390994814814803,0.0025228679673863774,0.0025228679673863774,1.1259179666666657,0.0022008393710211886,0.0022008393710211886,1.1197684444444436,0.0022028963510191384,0.0022028963510191384
0.8,0.9,0.8500000000000001,0.7884736333333334,0.039311899508911605,0.039311899508911605,0.8163527666666667,0.03121278890314588,0.03121278890314588,1.0301859000000002,0.011566467281929728,0.011566467281929728,1.1888883000000003,0.0013143352020914478,0.0013143352020914478,1.1490531333333336,0.0013310547400418001,0.0013310547400418001,1.106926066666667,0.0009063683033042546,0.0009063683033042546,1.0734623000000003,0.002206592979915487,0.002206592979915487,1.0374948000000002,0.0014614315085973292,0.0014614315085973292,1.0186605333333336,0.003027679827977336,0.003027679827977336,1.006524962962963,0.0016290514916188468,0.0016290514916188468,0.9966964000000003,0.0025617123266371113,0.0025617123266371113,0.9924470740740742,0.003078267007847904,0.003078267007847904
0.9,1.0,0.95,0.16379393333333336,0.020907146075143965,0.020907146075143965,0.21350886666666674,0.01498778006210805,0.01498778006210805,0.39193310000000003,0.010888907938815535,0.010888907938815535,0.6897364000000001,0.002564682815803735,0.002564682815803735,0.7999029,0.000947512728993622,0.000947512728993622,0.8180354000000001,0.0016871814892825913,0.0016871814892825913,0.8213503333333335,0.0014380444969849353,0.0014380444969849353,0.8154480666666668,0.0018412163505092834,0.0018412163505092834,0.8113469,0.002068231486733541,0.002068231486733541,0.8071314814814816,0.001524010226262633,0.001524010226262633,0.8044103333333336,0.0018140832531564686,0.0018140832531564686,0.8028944444444446,0.002423618867864054,0.002423618867864054
