time,Delta T=0.05 MSRD,Delta T=0.05 stdv MSRD,Delta T=0.1 MSRD,Delta T=0.1 stdv MSRD,Delta T=0.15 MSRD,Delta T=0.15 stdv MSRD,Delta T=0.2 MSRD,Delta T=0.2 stdv MSRD,Delta T=0.225 MSRD,Delta T=0.225 stdv MSRD,Delta T=0.25 MSRD,Delta T=0.25 stdv MSRD,Delta T=0.3 MSRD,Delta T=0.3 stdv MSRD
50.0,0.003023977362446665,2.1573792870536497e-5,0.012692715895989989,0.00016252974184100867,0.03575360234455003,0.0006223947687892332,0.09626864218930521,0.0015486453548425616,0.13847588875356587,0.001785766660942951,0.18674790470662941,0.0019187960164089638,0.2992072973726908,0.004732777252635655
52.5,0.0030373783120093314,1.9025320459808668e-5,0.012785916705401343,0.00017271873521706936,0.03636964170658473,0.0006943464412176255,0.09943856273769727,0.0016089299148542284,0.143573594014935,0.0018216933188331698,0.19429747107684692,0.001962952129660984,0.3125566454888631,0.004924510054386885
55.0,0.003047781972032999,1.859848765799931e-5,0.012875079353282672,0.00018128462782895276,0.0370044563424043,0.0007672580080900839,0.10256148559046208,0.0017195460969891658,0.1486606324191308,0.001873972436050781,0.20184415377064685,0.002166068005388315,0.3261160627182701,0.004917324334892364
57.5,0.0030566583180466618,1.7611881559297286e-5,0.012955469525919668,0.00017884372251161348,0.037575983008042414,0.0008134777428526106,0.10566801095638195,0.001813381358212472,0.15378778519480585,0.0019143947424945698,0.20936545770235265,0.002398345912406473,0.3396804770200289,0.005195861566708995
60.0,0.003065685422715666,1.6552515981075514e-5,0.01302937537382866,0.0001760543688159601,0.03810976202614872,0.0008237566758477974,0.10878425892670167,0.0018661643503414297,0.1587928607123957,0.0020053427018290665,0.21686407452934775,0.002701520884369742,0.35323716390510357,0.005386420127776114
62.5,0.003072551390862663,1.4266238204347711e-5,0.013097529919085997,0.0001769429036000753,0.03863501929086765,0.0008171779174490455,0.11176643576389551,0.001974309919155961,0.1638332907508948,0.0020695373403386954,0.2243415407818946,0.003027302312658051,0.3667818734834533,0.005540549258236991
65.0,0.003076538409694329,1.4620641988177719e-5,0.013166543187998682,0.0001822940966558273,0.03915594007051832,0.0008455730835787796,0.11475759308363925,0.0021180016121861637,0.16888473630194084,0.002244917814127481,0.23167834305232068,0.0032011087487896564,0.3803256753044232,0.005829337052618343
67.5,0.0030808838909943304,1.8709706410535976e-5,0.013236546876941684,0.0001797523799103782,0.03969237515515396,0.000879971293052202,0.11779299364245845,0.0022552873206038355,0.1739672854387259,0.002479245328974742,0.23909133399637983,0.0032466943223202847,0.3935301539314606,0.006054699235897277
70.0,0.0030847901595389996,2.2875607630874257e-5,0.013298194536264681,0.0001748075407448844,0.040222768750513255,0.0009425237003908763,0.12074647244325605,0.002282498325550357,0.17914027341204333,0.0027672394004985093,0.24663616401531577,0.0032039246955756096,0.40680418762893533,0.006397849081488436
72.5,0.0030864385120096625,2.6535501497194276e-5,0.01335871424110166,0.00019318266232055267,0.04072988608308068,0.0009722261331606271,0.12369018307836793,0.0022828240773003377,0.18423284988787697,0.0029476142130238406,0.2540597826629736,0.0033397115181692362,0.4202002253123565,0.006589273671460112
75.0,0.0030889108690836655,2.9711534106213342e-5,0.013416851569464025,0.0002063050399632995,0.041237065110506274,0.0009937758131881133,0.12661274877497594,0.0024089397101472176,0.18920519627983262,0.003028742439137609,0.26144195817641297,0.0033674181745907616,0.43365938108749796,0.00682377102156956
