bin left,bin right,bin mean,tau_T=0.1 P(l),tau_T=0.1 stdv P(l),tau_T=1.0 P(l),tau_T=1.0 stdv P(l),tau_T=2.0 P(l),tau_T=2.0 stdv P(l),tau_T=5.0 P(l),tau_T=5.0 stdv P(l),tau_T=10.0 P(l),tau_T=10.0 stdv P(l),tau_T=20.0 P(l),tau_T=20.0 stdv P(l),tau_T=50.0 P(l),tau_T=50.0 stdv P(l),tau_T=100.0 P(l),tau_T=100.0 stdv P(l),tau_T=500.0 P(l),tau_T=500.0 stdv P(l),tau_T=1000.0 P(l),tau_T=1000.0 stdv P(l)
1.3,1.4,1.35,1.3333333333333352e-7,1.721325931647743e-7,0.012832666666666683,0.0005332293417134869,0.04290296666666672,0.0003168980226983513,0.08209176666666679,0.0005620122148402354,0.10255624462222415,0.0005399623921855525,0.1158649049648869,0.0006353317379024344,0.12834801106010849,0.0006992875176663125,0.13807936084983852,0.00135986962415616,0.15317211366411518,0.0025491402682145327,0.1273945035713328,0.0029619161234128158
1.4,1.5,1.45,0.0,0.0,0.004680966666666663,0.00018235377703793235,0.01940596666666665,0.00013799842994275904,0.042842999999999964,0.00038393270372248054,0.05675453957284885,0.00046987841860429144,0.06679973439802273,0.0004284406306936478,0.07718919850809411,0.0004341847024350292,0.0851902031857841,0.0011578466893651085,0.09688440521293558,0.0016701199742310518,0.0756918889003573,0.00221821016772637
1.5,1.6,1.55,0.0,0.0,0.0017401999999999984,7.85712227029529e-5,0.008989699999999993,0.00011020692658207374,0.022988666666666643,0.00017563176967313888,0.032295070228603465,0.00023227631309778802,0.039436870004315366,0.00020507866900499846,0.047306311223631804,0.00045337923943424615,0.053742950645358376,0.0007575838545691342,0.061789879274107326,0.000999061403898324,0.04600994671727178,0.0013627552277170746
1.6,1.7,1.65,0.0,0.0,0.0006517666666666676,4.03867262144506e-5,0.004272600000000007,6.360386664230301e-5,0.012721066666666683,0.0001984404503766286,0.018940935422012993,0.00017958193663842874,0.02412867778199001,0.00021830036538286605,0.03002326244802097,0.0005145605580046479,0.03488109094816424,0.0006307179999966823,0.039753462874403185,0.0005655504399611459,0.028643208233526868,0.001047679471485192
1.7,1.8,1.75,0.0,0.0,0.00025216666666666644,9.935905707192573e-6,0.0020806666666666643,3.979298281709322e-5,0.007212899999999993,0.00013325600072190002,0.011399301253688213,9.997138649780823e-5,0.015070858818124129,0.00021208274515205076,0.019503341372273303,0.000294165407329178,0.023264199553565637,0.000539306382150025,0.02600365259836459,0.0004202188860111783,0.018166271968455334,0.0008420442882864552
1.8,1.9,1.85,0.0,0.0,9.18666666666668e-5,5.9321263857735035e-6,0.001016666666666668,2.4228847208173982e-5,0.004167666666666672,9.949849555286745e-5,0.00704553410782473,7.817768590471239e-5,0.00966248596491061,0.00019867200812654493,0.01298546365927802,0.00021897025698529643,0.01568302224876793,0.0004059159718564314,0.017376212841048212,0.0003384551711252887,0.011725436790670132,0.0005189879033130491
1.9,2.0,1.95,0.0,0.0,3.769999999999996e-5,4.950246283934254e-6,0.0004999666666666662,2.27055494385985e-5,0.0024716999999999977,6.9712894462366e-5,0.0044109338154935005,9.972958808065036e-5,0.00631581772028557,0.00012966914931573947,0.008762253593903443,0.0001591411836765708,0.010811473559898118,0.0002545708679048315,0.011561241843215385,0.00030160445507890687,0.007615402210544723,0.00034933365731775514
2.0,2.5,2.25,0.0,0.0,5.18e-6,1.0470652697001968e-6,0.00010283333333333333,5.392289877543381e-6,0.0006869066666666667,2.4830391573211472e-5,0.0014056801541464992,2.5779299548469347e-5,0.002220304730419036,2.9560740947644936e-5,0.0033244846955023874,8.547264434026717e-5,0.00417013086938081,0.00012059841898825825,0.004333469833397345,0.00011056308138254556,0.0028170874935495803,0.00013685636056625663
2.5,3.0,2.75,0.0,0.0,1.3999999999999998e-7,1.9487254460794444e-7,4.6e-6,8.207193472275283e-7,7.104e-5,3.167769788368271e-6,0.0002051533555140078,1.4301718695520252e-5,0.0004080890753014175,1.2232895333502019e-5,0.0007350336213434423,4.838299672813469e-5,0.0009817013705777323,3.5572950272010384e-5,0.0008882339783953114,5.6525071431005186e-5,0.000622646858662546,6.0561981092163685e-5
3.0,3.5,3.25,0.0,0.0,0.0,0.0,2.533333333333334e-7,1.9064542746246415e-7,1.1880000000000001e-5,2.4675273773607236e-6,5.010000558889085e-5,4.806298728779166e-6,0.0001273111695852422,1.0762286438775806e-5,0.00026926676522429863,2.8800942233917966e-5,0.00037207553262261336,2.666763760990491e-5,0.00028200688161635876,2.0349374624553266e-5,0.00019831338851186895,4.234995482216854e-5
3.5,4.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,1.393333333333333e-6,5.129917093162037e-7,1.044000113266707e-5,1.3525284327677398e-6,3.957779580964704e-5,4.433335898256491e-6,0.00011399170923811289,1.2390299596702849e-5,0.00018225026320242078,1.622833821937856e-5,0.00016605346315799442,2.015979601762655e-5,0.00016216670863407337,6.66967464062126e-5
