t,Delta T=0.05 C_vv(t),Delta T=0.05 stdv C_vv(t),Delta T=0.1 C_vv(t),Delta T=0.1 stdv C_vv(t),Delta T=0.15 C_vv(t),Delta T=0.15 stdv C_vv(t),Delta T=0.2 C_vv(t),Delta T=0.2 stdv C_vv(t),Delta T=0.225 C_vv(t),Delta T=0.225 stdv C_vv(t),Delta T=0.25 C_vv(t),Delta T=0.25 stdv C_vv(t),Delta T=0.3 C_vv(t),Delta T=0.3 stdv C_vv(t)
212.5,-0.0003071914494500631,0.0023061035587513606,-0.000685815827226868,0.0034600458010085,0.001874545101648991,0.0036348296741176493,0.001931099926767862,0.0029976749769414965,0.0009704520455075354,0.003547861123054992,0.002077329925372607,0.002751433989064492,0.0003793609552439672,0.0015741806777776431
215.0,-0.001546693322941104,0.00272437695106618,-0.0007145555620015219,0.0027091067500707874,0.0007057499099770081,0.003169031841699162,0.0024352294593977886,0.0023465304378445786,0.0011128575397870663,0.004016714771221673,0.0030485420998571018,0.0027607293807389867,0.001822432372849581,0.0030247933520897155
217.5,-0.0015780442409505408,0.0028199805644595006,-0.0009780744471980022,0.0025313459375778218,1.867052728803419e-5,0.003619545064544134,0.003078027165360891,0.0033191747748401207,0.0013544358201068067,0.0034086174436584373,0.0018508481916936295,0.001996277633532371,0.0009775892884226819,0.003103720208345983
220.0,-0.0018508068967365552,0.0028637626632389656,-0.0015244056275375566,0.003552882668244403,0.0012173498630674428,0.00456384484833285,0.0025798106732496952,0.0030227765902046282,0.0012242939584844752,0.0032137728630516277,0.002207137475522192,0.0013424258399308974,0.0018143171282033563,0.0028643772001043983
222.5,-0.0031490644263697113,0.002473354349967882,-0.001163938168900465,0.004303142708306877,0.00040803669488534265,0.005038614180992483,0.001817408759849659,0.004770239218757127,0.0009866270737544404,0.0018557407863211616,0.000918369517902555,0.002105601467815034,0.0009756540133984504,0.0027664372752048026
225.0,-0.002857015447926397,0.00159243144555642,-0.00184542190203955,0.00322955667652752,7.492898169615602e-5,0.0038872607346852593,0.001750628341574432,0.003996329500607909,0.0010906341689386836,0.002614525609342615,0.001996161733638685,0.0017850435513059545,0.0014926067396076822,0.0023473222153014175
227.5,-0.0037958754969003973,0.0037227979453874987,-0.0007644267387407738,0.003380845924314312,0.0002824905752311027,0.0037086247692281905,0.0020131953517352236,0.003495179654040702,0.001687424237574714,0.003037815838890656,0.0025542154655764423,0.004038204786245186,-0.00020948668156964726,0.0025825437060905143
230.0,-0.00424748883678461,0.0035688054635601542,-0.0009932817177424097,0.001945508842462106,-0.0007093285362569559,0.002773725836989697,0.0021352686937254465,0.004336299058242419,0.0020357605948654886,0.002962177348955529,0.0022356192243725504,0.002878896626921053,0.0003131683222621745,0.003089379414827765
232.5,-0.0029096662724110677,0.003476725963067514,-0.002703764785355246,0.00310977442739919,-0.00023799834459452615,0.0023206651698584923,0.0018406600812991114,0.003413529886087938,0.00197918492404088,0.003163778862906095,0.0021482550523686363,0.003249211389039182,-0.0006857819650540598,0.0017327112495229928
235.0,-0.0032062615224850107,0.003850010372323475,-0.002079123322962918,0.0025217283123980827,-1.3683212310318598e-5,0.002498449465860428,0.0026023204574364195,0.002620296990975571,0.0010609929548184962,0.003046185859101053,0.002077655582152647,0.0024487256214716278,0.000752712327179576,0.00170415650705255
237.5,-0.0020865242433508653,0.0042781617699555905,-0.0020537298342373682,0.003039050514139619,-0.000544648709449121,0.004461378811465022,0.0023606678001746517,0.0034861012947333043,0.0010585871678013277,0.0028489340206120264,0.0008538197133899576,0.002448482889147008,0.00036519105143468226,0.0021061319410269077
240.0,-0.0024246964929310515,0.0027661451968015835,-0.002749493409673131,0.0019214310909115683,-0.0007505032385981145,0.0029368322793464677,0.0018633644869350077,0.005306007733590509,0.0007459358115924842,0.0018716434763687605,0.0008116888258297504,0.0026512264877010857,0.0011226834180425877,0.002023794604202415
242.5,-0.0024684341920351996,0.003387919541318542,-0.0012503046108226822,0.002907154245966913,-0.002387415856467999,0.002929478673488506,0.00183524504053442,0.004318926642312239,0.0006797786391059652,0.0020036921478313176,0.0007280964090057614,0.0018674480162243106,0.0009582845043204887,0.0021783832206670717
245.0,-0.002712825023974135,0.0021580721095622295,-0.0011217191941219587,0.00287528870579845,-0.0006612184375139939,0.0023421140748758063,0.00016407682336632085,0.004331315589033134,0.0006872550101749235,0.0019919884497440477,0.0013002470460200936,0.0025588347264861124,0.0006644251765348298,0.001901729002779741
247.5,-0.002493123722814136,0.003454909654160934,0.00015600838917900886,0.0037617926532149343,-0.0007371482126003806,0.002414632404963674,0.002126236947459668,0.0031333788226995496,-0.00038075213816336285,0.0011879417239897558,0.001060044632306128,0.0021207581332802943,0.00041999884824967285,0.002724867520514274
250.0,-0.003890916979034255,0.0037755455787474236,-0.0015807292862596186,0.0025082884505755166,-0.0006055386136456033,0.002688639628297578,0.001436484570330413,0.0029321850834325815,9.624188684738472e-5,0.002198914518416712,0.0003272362219323739,0.0027342397432944176,-0.0009451408218085358,0.0024449259976064143
255.0,-0.003281240079108235,0.002461072191089582,-0.0012252991545514205,0.0024161244536960967,-0.0014251167119372896,0.003573157041603634,0.0010435021195019868,0.00315189187272821,0.0005967103356868934,0.002064194478194669,0.0010034650345344608,0.0034195900966461456,0.0005470628126285135,0.002167849007846947
260.0,-0.004761085749928601,0.003476563681477017,-0.001894061291231789,0.0029563038105066934,-0.0014129458419638876,0.002994481684010103,0.001249787452353114,0.005633781925658635,9.363012555211694e-5,0.0026438959981799895,0.0021334201290887757,0.002360962082955178,0.000160416046134048,0.002720804512144644
265.0,-0.003414783918457137,0.0042080600696265645,-0.002092731376625807,0.0023682777916663868,-0.0025712517551160696,0.0034379091415540713,-0.0003536751560314055,0.003938657000830652,0.000768963332161068,0.002355992036122238,0.0011697215837242606,0.002078497879745138,0.0007212587652095095,0.0029655361686759217
270.0,-0.002939504890367967,0.003001183444208358,-0.003982967277438933,0.003208491385004693,-0.0014235616937768333,0.001932461618899357,0.0008381729930403703,0.003788795763396162,8.643582551408632e-5,0.004024160266300076,0.0012115460649894333,0.0028920135429677148,0.00023007151578070882,0.001864691114098046
275.0,-0.003195767843832646,0.004226696894888607,-0.001998193415676027,0.004390236005033116,-0.001064785066996515,0.0018338910238927836,0.0008178884813085975,0.003523288629484471,0.00014064290266871033,0.0038374980909777383,0.0014964054854887034,0.00472947820028999,-0.0001676247695271653,0.002648005459030016
280.0,-0.003072106978272016,0.0033930417227614946,-0.0027088214488484,0.0029426481315124437,-0.0007595604226768261,0.0024410319466064445,0.0009248116063664779,0.0024880505665836506,0.0003588048238736591,0.0017775405260635176,0.0014364006570870996,0.004360430020872301,0.00045939882790878067,0.0034650223850474474
285.0,-0.002825148568686514,0.0026353060375387664,-0.0027721694647595955,0.0025221601898917784,-0.001087452708859091,0.0021473058968963046,0.0012649031487614135,0.0020646752812708584,0.0005033806140593447,0.0025257152690659644,0.0018926931897159608,0.004080608904277759,0.0012995871585033683,0.0032943720407262573
290.0,-0.005224965922044159,0.0029756373512487794,-0.0019698668159437104,0.0017695828124116002,-0.002253950248825233,0.0013121867306673375,0.0008683449057691186,0.003079967354193974,0.0015137715974795425,0.0037753659878645984,0.0018383754835375136,0.0021105118298168613,0.0016502754507441882,0.0025958644003906605
295.0,-0.002614919364610048,0.003056511205293237,-0.002633331658953563,0.0029063796290557326,-0.0015084824339399474,0.0014492182703786038,0.0014800032857813733,0.0020834529684837905,0.0009487916835858177,0.0032407897115266323,0.0006409054484273964,0.0029906234159433644,0.00036666585643821555,0.00398109837629694
300.0,-0.003122755122542756,0.0029061366314980922,-0.002239550423656467,0.0034216967294768683,3.156338034288803e-5,0.0028617354419413895,0.0016906733590891353,0.004052687195687638,0.0009043716373324994,0.0037916945560611424,0.0009398303141868117,0.002426249667603148,0.0024456443492134744,0.003439057721971087
305.0,-0.0026092835774750188,0.004098281397716885,-0.0018185793170365275,0.0028470043060772683,-0.0008004815185570004,0.003132731621333158,0.0028566595115205786,0.00240019309128016,7.21573014866402e-5,0.0038566268995051294,0.0011496791890102033,0.003862613083621402,0.0007314265937547235,0.0027437876945794015
310.0,-0.002239388636893635,0.003165271069147212,-0.0010716472440035628,0.0034524594270280958,-0.0004377124628668785,0.00317632160827686,0.0011896678646991549,0.0018580017184230825,0.0012173448951296225,0.002625130903476926,-0.00044987263106650404,0.0028256592365101005,0.0004413744344825037,0.0028535850494965645
315.0,-0.003327872003670306,0.0039787272913991145,0.0001293769278292277,0.0032707666423896385,-0.00020313167774541272,0.0013427834793411728,0.0008639157723569458,0.002672800591043564,0.000763210146543782,0.0019415252677000964,0.00013853437743812196,0.0026956010585493426,-0.0010032410393729656,0.0018884622681665862
320.0,-0.0035730377677339435,0.003585368944554167,-0.002655642319687645,0.0024691176359334594,-0.0007013509121300143,0.002964995238671548,-4.497512368861715e-6,0.003630594256979714,0.00034174775049037443,0.00460299962433848,0.00041029710270111856,0.001962457915316537,0.0008324151336280628,0.002441899117262665
325.0,-0.0033720476642417467,0.002043395940857622,-0.002539228569849643,0.002878596571942178,-0.0015669463076537868,0.003714219199201031,0.0016907082696823923,0.0024847419494068716,0.0008077968520508098,0.003356626587598683,0.0018515003738056458,0.002853858027754827,-0.00023093060006365413,0.0026149538000004866
